time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
0.06,-2.3775814925003496e-07,-2.415116644850892e-07,10.069961366747215,6.283096488576337,6.643409530227018e-05,0.0,-2.264441857185769e-05,-2.645816430617241e-05,2.3304044285623045,-0.004619211660436289,0.0032348427077592374,0.0
0.12000000000000001,-1.1128641523761486e-05,-1.4189867892639772e-05,10.279093937424747,6.282751478721629,0.00042233571665573066,0.0,-0.00045926675677478363,-0.0005701233798399471,4.634389404910003,-0.008114126803413576,0.010843548056818673,0.0
0.18,-8.612155477257305e-05,-9.241213416025804e-05,10.624851538131862,6.282432714780926,0.0013467278081149558,0.0,-0.00236918561558443,-0.0021982054867635964,6.880231675671783,-0.0002276250601558373,0.023250106986111175,0.0
0.23999999999999996,-0.0003625124823827953,-0.00028657161740770716,11.102924875073464,6.282517814162233,0.003057536198461719,0.0,-0.007456093623710515,-0.004247769810128955,9.041095671831814,0.0045226716719879365,0.03737649626981615,0.0
0.3,-0.0010874288527440868,-0.0005902600996688795,11.707432144641277,6.282912007763155,0.005586860096274293,0.0,-0.01757847363686934,-0.00573421210470194,11.091580884249531,0.010378974617577238,0.050316174441610795,0.0
0.36000000000000004,-0.0026088731774496702,-0.0009467283847273958,12.431248397405737,0.00020865611803344564,0.008698699594085646,0.0,-0.034147122751766526,-0.005938988029416755,13.015710620543082,0.0028693678635865064,0.054791834763142824,0.0
0.4200000000000001,-0.005325529951598858,-0.0012861338303037154,13.266361514107203,0.00019084884696596305,0.011740458035801815,0.0,-0.057318295924690996,-0.005349325417917281,14.799937489213118,-0.0075317121036414,0.04089817864884246,0.0
0.48000000000000015,-0.009586918910068605,-0.0016000471202662575,14.204145068160363,6.282700852773225,0.013934866793502643,0.0,-0.08522369499303775,-0.005296179187054794,16.43728534661999,-0.01999724074183854,0.02610084273843989,0.0
0.5400000000000001,-0.015596308013118306,-0.001962181411565436,15.235687556124073,6.2811729234159195,0.015240665169799605,0.0,-0.11521593108336937,-0.007164049541608905,17.925147710519017,-0.03960511430106406,0.011250604338093433,0.0
0.6000000000000002,-0.023409063944505436,-0.0025351922058926752,16.352037127053272,6.2784993852120365,0.015911085083732956,0.0,-0.145064210370493,-0.012589099758910524,19.26468099672429,-0.05697969990181603,0.011019329779924161,0.0
0.6600000000000003,-0.03298259315232037,-0.00357823375307253,17.544403880044584,6.274747742238294,0.01678900777866854,0.0,-0.17392212285168954,-0.022998035265800472,20.460011450567627,-0.07693657592216914,0.021023753605507584,0.0
0.7200000000000003,-0.044270136147452364,-0.005422912552241593,18.804348176484382,6.269739923898035,0.018045676161906776,0.0,-0.20230111309163243,-0.03946401234194959,21.518556042836096,-0.10156152369809232,0.02078544043255931,0.0
0.7800000000000004,-0.05725228717030712,-0.008464704478873776,20.12390493783022,6.2633364923923835,0.019353356500707797,0.0,-0.23039328899233105,-0.06306410835509123,22.448622464964817,-0.11981594557323583,0.023740352897942112,0.0
0.8400000000000004,-0.07191252498712483,-0.01315565719547548,21.495720578212435,6.255764680248863,0.02078085126007423,0.0,-0.25825434228545524,-0.09448583744026462,23.26213798668535,-0.14369543316193456,0.023893833891548335,0.0
0.9000000000000005,-0.08823804415096143,-0.019978512571328405,22.913124673913977,6.2466914349112646,0.02224334627300184,0.0,-0.28589707474228815,-0.13422714344543543,23.969900579746533,-0.17379998183870796,0.02532010169161706,0.0
0.9600000000000005,-0.10621654540763258,-0.029457427342747068,24.37013553553411,6.235763620741263,0.02374079356116976,0.0,-0.3133604569338157,-0.18317435235631002,24.583987383539966,-0.20919782127532874,0.024222141740465216,0.0
1.0200000000000005,-0.12583730140833374,-0.04218017287727695,25.861466338624666,6.222814837846515,0.025116178356532792,0.0,-0.3406245067572694,-0.24255469633205018,25.115459189225046,-0.23424028784051368,0.02018948030514836,0.0
1.0800000000000005,-0.14708400025211346,-0.05880513146503475,27.382466371979678,6.208443535177832,0.026269656999432733,0.0,-0.3675301195074847,-0.31333948600267747,25.574426025339164,-0.25298956354375657,0.01722153097350457,0.0
1.1400000000000006,-0.169930020990864,-0.08003022163904039,28.92904696234405,6.19300815850265,0.027214340781736013,0.0,-0.3939219589378714,-0.39594353066233906,25.969508842211752,-0.26753146910732484,0.012614068721973303,0.0
1.2000000000000006,-0.19434196893967073,-0.1065760003184747,30.4976626160768,6.176735179771722,0.028011784497443237,0.0,-0.41971670750286977,-0.4907384574631716,26.3101426813125,-0.27982766005304616,0.014610915918772676,0.0
1.2600000000000007,-0.2202863321057029,-0.13918464832963692,32.08529348377157,6.15960835144644,0.02907382985605622,0.0,-0.4450495894161661,-0.5981001250489945,26.604423952201536,-0.3000681486931337,0.02325759562336578,0.0
1.3200000000000007,-0.24774768617575743,-0.17862726474583956,33.689341149855856,6.141427186101698,0.03078944404199646,0.0,-0.4703783031528775,-0.7186908394894391,26.85835532376148,-0.30967495121972394,0.037560246334343565,0.0
1.3800000000000008,-0.27674551070403114,-0.2257155584100334,35.30752407480665,6.1229589049122275,0.03325647509969709,0.0,-0.4963764657824462,-0.8530190385112548,27.076468172892522,-0.30431289458890465,0.04741983234929759,0.0
1.4400000000000008,-0.30734260440645234,-0.28129149545854243,36.93794424106866,6.104478909479621,0.03641174786775814,0.0,-0.5237707626152606,-1.0015925381169093,27.266906093706346,-0.3166139551302515,0.06131296347778046,0.0
